,document_file_id,link,file,extension
0,83255,https://declarator.org/document/70338/file/83255,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.pdf""",pdf
1,83289,https://declarator.org/document/70338/file/83289,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.pdf""",pdf
2,83290,https://declarator.org/document/70338/file/83290,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.xlsx""",xlsx
3,83291,https://declarator.org/document/70338/file/83291,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.pdf""",pdf
4,83292,https://declarator.org/document/70338/file/83292,"attachment; filename=""2016_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
5,83293,https://declarator.org/document/70338/file/83293,"attachment; filename=""2019_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.xlsx""",xlsx
6,83294,https://declarator.org/document/70338/file/83294,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.xlsx""",xlsx
7,83295,https://declarator.org/document/70338/file/83295,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.xlsx""",xlsx
8,83296,https://declarator.org/document/70338/file/83296,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(dopolnenie).xlsx""",xlsx
9,83297,https://declarator.org/document/70338/file/83297,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.xlsx""",xlsx
10,83298,https://declarator.org/document/70338/file/83298,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.xlsx""",xlsx
11,83299,https://declarator.org/document/70338/file/83299,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
12,83300,https://declarator.org/document/70338/file/83300,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(FGUP).pdf""",pdf
13,83301,https://declarator.org/document/70338/file/83301,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(FGBU).pdf""",pdf
14,83302,https://declarator.org/document/70338/file/83302,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(FGUP).xlsx""",xlsx
15,83303,https://declarator.org/document/70338/file/83303,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(FGBU).xlsx""",xlsx
16,83304,https://declarator.org/document/70338/file/83304,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.pdf""",pdf
17,83305,https://declarator.org/document/70338/file/83305,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.doc""",doc
18,83306,https://declarator.org/document/70338/file/83306,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.pdf""",pdf
19,83307,https://declarator.org/document/70338/file/83307,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.pdf""",pdf
20,83312,https://declarator.org/document/70338/file/83312,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
21,83311,https://declarator.org/document/70338/file/83311,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
22,83310,https://declarator.org/document/70338/file/83310,"attachment; filename=""2016_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
23,83313,https://declarator.org/document/70338/file/83313,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(2016-2018_gody).pdf""",pdf
24,83314,https://declarator.org/document/70338/file/83314,"attachment; filename=""2019_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(FBSEU).xlsx""",xlsx
25,83315,https://declarator.org/document/70338/file/83315,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(FBSEU).xlsx""",xlsx
26,83316,https://declarator.org/document/70338/file/83316,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
27,83317,https://declarator.org/document/70338/file/83317,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(FBSEU).xlsx""",xlsx
28,83318,https://declarator.org/document/70338/file/83318,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(ne_ukazany_FIO).docx""",docx
29,83319,https://declarator.org/document/70338/file/83319,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.xlsx""",xlsx
